



2019-03-11 09:11:18.610583 Retorno metodo isPago:False, documento:367942  None
2019-03-11 09:11:18.909472 Retorno metodo isPago:False, documento:368307  None
2019-03-11 09:11:19.210155 Retorno metodo isPago:False, documento:367935  None
2019-03-11 09:11:19.515536 Retorno metodo isPago:False, documento:367443  None
2019-03-11 09:11:19.814562 Retorno metodo isPago:False, documento:367120  None
2019-03-11 09:11:20.122324 Retorno metodo isPago:False, documento:367515  None
2019-03-11 09:11:20.438296 Retorno metodo isPago:False, documento:367594  None
2019-03-11 09:11:20.780088 Retorno metodo isPago:False, documento:368094  None
2019-03-11 09:11:21.084268 Retorno metodo isPago:False, documento:367784  None
2019-03-11 09:11:21.385307 Retorno metodo isPago:False, documento:367940  None
2019-03-11 09:11:21.694552 Retorno metodo isPago:False, documento:367285  None
2019-03-11 09:11:22.017984 Retorno metodo isPago:False, documento:368296  None
2019-03-11 09:11:22.319258 Retorno metodo isPago:False, documento:367026  None
2019-03-11 09:11:22.620957 Retorno metodo isPago:True, documento:368040  2019-03-08 00:00:00
2019-03-11 09:11:22.923190 Retorno metodo isPago:False, documento:368290  None
2019-03-11 09:11:23.229910 Retorno metodo isPago:False, documento:367407  None
2019-03-11 09:11:23.531339 Retorno metodo isPago:False, documento:368294  None
2019-03-11 09:11:23.840169 Retorno metodo isPago:True, documento:367427  2019-03-08 00:00:00
2019-03-11 09:11:24.143606 Retorno metodo isPago:False, documento:368282  None
2019-03-11 09:11:24.445157 Retorno metodo isPago:False, documento:367898  None
2019-03-11 09:11:24.756308 Retorno metodo isPago:False, documento:367111  None
2019-03-11 09:11:25.057203 Retorno metodo isPago:False, documento:368168  None
2019-03-11 09:11:25.364460 Retorno metodo isPago:True, documento:367623  2019-03-08 00:00:00
2019-03-11 09:11:25.674381 Retorno metodo isPago:False, documento:368107  None
2019-03-11 09:11:25.975879 Retorno metodo isPago:False, documento:368347  None
2019-03-11 09:11:26.278522 Retorno metodo isPago:False, documento:368056  None
2019-03-11 09:11:26.593557 Retorno metodo isPago:False, documento:367306  None
2019-03-11 09:11:26.902530 Retorno metodo isPago:False, documento:368057  None
2019-03-11 09:11:27.206156 Retorno metodo isPago:False, documento:368563  None
2019-03-11 09:11:27.508382 Retorno metodo isPago:False, documento:368165  None
2019-03-11 09:11:27.811244 Retorno metodo isPago:False, documento:368240  None
2019-03-11 09:11:28.113032 Retorno metodo isPago:False, documento:367458  None
2019-03-11 09:11:28.420461 Retorno metodo isPago:False, documento:368254  None
2019-03-11 09:11:28.731530 Retorno metodo isPago:False, documento:368162  None
2019-03-11 09:11:29.041818 Retorno metodo isPago:False, documento:368121  None
2019-03-11 09:11:29.344824 Retorno metodo isPago:False, documento:367794  None
2019-03-11 09:11:29.654419 Retorno metodo isPago:True, documento:367387  2019-03-08 00:00:00
2019-03-11 09:11:29.956894 Retorno metodo isPago:False, documento:366428  None
2019-03-11 09:11:30.266496 Retorno metodo isPago:True, documento:366227  2019-03-08 00:00:00
2019-03-11 09:11:30.595683 Retorno metodo isPago:False, documento:366649  None
2019-03-11 09:11:30.898934 Retorno metodo isPago:False, documento:366507  None
2019-03-11 09:11:31.199244 Retorno metodo isPago:False, documento:366481  None
2019-03-11 09:11:31.508461 Retorno metodo isPago:False, documento:366821  None
2019-03-11 09:11:31.803719 Retorno metodo isPago:False, documento:366567  None
2019-03-11 09:11:32.112486 Retorno metodo isPago:False, documento:366638  None
2019-03-11 09:11:32.419988 Retorno metodo isPago:False, documento:366651  None
2019-03-11 09:11:32.730233 Retorno metodo isPago:True, documento:366407  2015-11-03 00:00:00
2019-03-11 09:11:32.730279 Retorno metodo isPago:False, documento:366407  None
2019-03-11 09:11:33.041940 Retorno metodo isPago:False, documento:366564  None
2019-03-11 09:11:33.345771 Retorno metodo isPago:False, documento:366446  None
2019-03-11 09:11:33.662250 Retorno metodo isPago:False, documento:366179  None
2019-03-11 09:11:33.963707 Retorno metodo isPago:False, documento:365483  None
2019-03-11 09:11:34.266055 Retorno metodo isPago:False, documento:365228  None
2019-03-11 09:11:34.575429 Retorno metodo isPago:False, documento:365846  None
2019-03-11 09:11:34.890245 Retorno metodo isPago:False, documento:364905  None
2019-03-11 09:11:35.187791 Retorno metodo isPago:False, documento:365879  None
2019-03-11 09:11:35.496220 Retorno metodo isPago:False, documento:364906  None
2019-03-11 09:11:35.805697 Retorno metodo isPago:False, documento:365871  None
2019-03-11 09:11:36.111284 Retorno metodo isPago:False, documento:365866  None
2019-03-11 09:11:36.415317 Retorno metodo isPago:True, documento:365594  2019-03-08 00:00:00
2019-03-11 09:11:36.715777 Retorno metodo isPago:False, documento:365873  None
2019-03-11 09:11:37.025999 Retorno metodo isPago:False, documento:365750  None
2019-03-11 09:11:37.326812 Retorno metodo isPago:False, documento:365854  None
2019-03-11 09:11:37.636391 Retorno metodo isPago:False, documento:364427  None
2019-03-11 09:11:37.945800 Retorno metodo isPago:False, documento:364442  None
2019-03-11 09:11:38.282514 Retorno metodo isPago:False, documento:366078  None
2019-03-11 09:11:38.582260 Retorno metodo isPago:False, documento:366073  None
2019-03-11 09:11:38.884364 Retorno metodo isPago:False, documento:365936  None
2019-03-11 09:11:39.207793 Retorno metodo isPago:True, documento:365289  2019-03-08 00:00:00
2019-03-11 09:11:39.507961 Retorno metodo isPago:False, documento:365961  None
2019-03-11 09:11:39.832678 Retorno metodo isPago:False, documento:365966  None
2019-03-11 09:11:40.135335 Retorno metodo isPago:False, documento:365815  None
2019-03-11 09:11:40.443832 Retorno metodo isPago:False, documento:365939  None
2019-03-11 09:11:40.753878 Retorno metodo isPago:False, documento:365941  None
